frame,id,nose_x,nose_y
1,1,1098,296
1,2,3174,282
1,3,3827,404
2,1,1101,296
2,2,3175,282
2,3,3815,371
3,1,1105,298
3,2,3176,284
3,3,3814,377
4,1,1108,298
4,2,3176,285
4,3,3817,350
5,1,1109,300
5,2,3176,285
5,3,3802,368
6,1,1110,301
6,2,3177,287
6,3,3798,366
6,5,3822,353
7,1,1111,303
7,2,3181,287
7,3,3795,365
7,5,3817,347
8,1,1112,303
8,2,3180,289
8,3,3799,362
9,1,1115,303
9,2,3177,288
9,3,3810,361
10,1,1118,303
10,2,3175,289
10,3,3814,360
11,1,1118,303
11,2,3174,290
11,3,3810,357
12,1,1120,303
12,2,3174,288
12,3,3774,338
13,1,1122,303
13,2,3172,287
13,3,3767,331
14,1,1124,302
14,2,3172,288
14,3,3767,335
15,1,1125,302
15,2,3171,288
15,3,3762,339
16,1,1126,302
16,2,3170,288
16,3,3757,333
17,1,1128,303
17,2,3170,286
17,3,3760,332
18,1,1129,303
18,2,3171,283
18,3,3759,331
19,1,1132,303
19,2,3165,280
19,3,3760,338
20,1,1135,302
20,2,3162,278
20,3,3809,350
21,1,1137,303
21,2,3160,276
21,3,3765,336
22,1,1139,304
22,2,3165,274
22,3,3748,337
23,1,1142,303
23,2,3163,269
23,3,3781,346
24,1,1145,303
24,2,3164,269
24,3,3740,331
25,1,1147,303
25,2,3167,268
25,3,3707,329
26,1,1149,303
26,2,3169,269
26,3,3710,326
27,1,1151,305
27,2,3167,269
27,3,3708,322
28,1,1152,305
28,2,3169,270
28,3,3737,322
29,1,1154,303
29,2,3164,269
29,3,3722,321
30,1,1156,303
30,2,3164,268
30,3,3660,317
31,1,1156,303
31,2,3161,266
31,3,3650,320
32,1,1154,301
32,2,3160,263
32,3,3657,328
33,1,1154,301
33,2,3155,256
33,3,3659,322
34,1,1158,300
34,2,3156,254
34,3,3727,312
35,1,1160,301
35,2,3155,254
35,3,3741,320
36,1,1159,299
36,2,3151,253
36,3,3698,318
37,1,1160,299
37,2,3149,254
37,3,3616,312
38,1,1162,298
38,2,3144,255
38,3,3605,312
39,1,1163,298
39,2,3148,254
39,3,3601,308
40,1,1167,295
40,2,3144,253
40,3,3591,304
41,1,1171,296
41,2,3141,251
41,3,3591,308
42,1,1171,293
42,2,3137,251
42,3,3578,308
43,1,1174,296
43,2,3134,252
43,3,3567,303
44,1,1174,292
44,2,3127,252
44,3,3563,307
45,1,1178,295
45,2,3127,251
45,3,3565,311
46,1,1180,292
46,2,3125,248
46,3,3569,310
47,1,1180,292
47,2,3125,246
47,3,3572,306
48,1,1184,292
48,2,3128,242
48,3,3564,305
49,1,1185,292
49,2,3124,242
49,3,3547,306
50,1,1186,292
50,2,3123,242
50,3,3531,306
51,1,1187,291
51,2,3125,240
51,3,3523,304
52,1,1189,289
52,2,3127,242
52,3,3515,303
53,1,1191,290
53,2,3126,239
53,3,3508,306
54,1,1192,290
54,2,3124,241
54,3,3504,304
55,1,1193,290
55,2,3120,241
55,3,3494,301
56,1,1192,289
56,2,3122,239
56,3,3488,302
57,1,1193,288
57,2,3123,240
57,3,3535,304
58,1,1190,287
58,2,3120,242
58,3,3502,310
59,1,1188,287
59,2,3121,241
59,3,3469,311
60,1,1186,285
60,2,3122,243
60,3,3519,304
61,1,1186,285
61,2,3117,246
61,3,3443,304
62,1,1186,285
62,2,3111,245
62,3,3436,305
63,1,1185,286
63,2,3107,243
